waypoint1	waypoint2	distance_m	duration_s
Ashfall Fossil Bed, Royal, NE	Grand Canyon National Park, Arizona	1856870	65459
Pikes Peak, Colorado	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1769252	59741
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Acadia National Park, Maine	3545188	122128
Carlsbad Caverns National Park, Carlsbad, NM	Pikes Peak, Colorado	906677	31944
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3303535	107889
Hoover Dam, NV	Olympia Entertainment, Woodward Avenue, Detroit, MI	3290228	107012
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	194727	8813
Wright Brothers National Memorial Visitor Center, Manteo, NC	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1226739	44392
Pikes Peak, Colorado	Congress Hall, Congress Place, Cape May, NJ 08204	2953916	99780
USS Constitution, Boston, MA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1870809	62560
Fort Sumter National Monument, Sullivan's Island, SC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	363233	14061
Toltec Mounds, Scott, AR	New Castle Historic District, Delaware	1794771	59874
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Columbia River Gorge National Scenic Area, Oregon	3738029	122555
Mount Vernon, Fairfax County, Virginia	Statue of Liberty, Liberty Island, NYC, NY	378503	14038
Mount Vernon, Fairfax County, Virginia	Graceland, Elvis Presley Boulevard, Memphis, TN	1414555	47193
Statue of Liberty, Liberty Island, NYC, NY	Fort Snelling, Tower Avenue, Saint Paul, MN	1929568	64753
Taliesin, County Road C, Spring Green, Wisconsin	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3320542	108677
Yellowstone National Park, WY 82190	Fort Snelling, Tower Avenue, Saint Paul, MN	1691565	58295
White House, Pennsylvania Avenue Northwest, Washington, DC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1114268	36887
Graceland, Elvis Presley Boulevard, Memphis, TN	Bryce Canyon National Park, Hwy 63, Bryce, UT	2505496	84225
Shelburne Farms, Harbor Road, Shelburne, VT	New Castle Historic District, Delaware	650574	24269
Wright Brothers National Memorial Visitor Center, Manteo, NC	Acadia National Park, Maine	1481208	55271
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Snelling, Tower Avenue, Saint Paul, MN	394366	13072
Pikes Peak, Colorado	Ashfall Fossil Bed, Royal, NE	927192	33959
Mount Vernon, Fairfax County, Virginia	Cape Canaveral, FL	1373606	43854
Cape Canaveral, FL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4737784	151426
Acadia National Park, Maine	Ashfall Fossil Bed, Royal, NE	2997078	101968
USS Constitution, Boston, MA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2348274	77964
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Gateway Arch, Washington Avenue, St Louis, MO	1956299	65125
The Breakers, Ochre Point Avenue, Newport, RI	Acadia National Park, Maine	565893	21528
Lost World Caverns, Lewisburg, WV	Pikes Peak, Colorado	2383851	79877
White House, Pennsylvania Avenue Northwest, Washington, DC	Fort Sumter National Monument, Sullivan's Island, SC	854753	28130
Statue of Liberty, Liberty Island, NYC, NY	Grand Canyon National Park, Arizona	3856197	127389
USS Alabama, Battleship Parkway, Mobile, AL	USS Constitution, Boston, MA	2255866	75923
The Alamo, Alamo Plaza, San Antonio, TX	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1798928	59474
New Castle Historic District, Delaware	Olympia Entertainment, Woodward Avenue, Detroit, MI	961572	32725
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Sumter National Monument, Sullivan's Island, SC	1936781	63779
Bryce Canyon National Park, Hwy 63, Bryce, UT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2333749	77881
Liberty Bell, 6th Street, Philadelphia, PA	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2935311	96924
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Graceland, Elvis Presley Boulevard, Memphis, TN	1879672	67306
Mount Vernon, Fairfax County, Virginia	USS Constitution, Boston, MA	731225	26660
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	5066778	169213
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Gateway Arch, Washington Avenue, St Louis, MO	1542174	54160
Liberty Bell, 6th Street, Philadelphia, PA	Taliesin, County Road C, Spring Green, Wisconsin	1520773	52196
French Quarter, New Orleans, LA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3664785	118034
Glacier National Park, West Glacier, MT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2707724	91948
Statue of Liberty, Liberty Island, NYC, NY	Fort Sumter National Monument, Sullivan's Island, SC	1212424	40470
USS Alabama, Battleship Parkway, Mobile, AL	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2098517	70399
Mount Vernon, Fairfax County, Virginia	Fort Snelling, Tower Avenue, Saint Paul, MN	1800970	60795
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Gateway Arch, Washington Avenue, St Louis, MO	868078	29734
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Craters of the Moon National Monument & Preserve, Arco, ID	2369986	81812
Cape Canaveral, FL	Ashfall Fossil Bed, Royal, NE	2650775	87183
Terrace Hill, Grand Avenue, Des Moines, IA	Graceland, Elvis Presley Boulevard, Memphis, TN	1008608	34173
Craters of the Moon National Monument & Preserve, Arco, ID	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3057810	105053
Shelburne Farms, Harbor Road, Shelburne, VT	Cape Canaveral, FL	2209998	74180
Graceland, Elvis Presley Boulevard, Memphis, TN	Wright Brothers National Memorial Visitor Center, Manteo, NC	1532641	51928
Acadia National Park, Maine	Fort Snelling, Tower Avenue, Saint Paul, MN	2670957	90563
New Castle Historic District, Delaware	French Quarter, New Orleans, LA	1919903	63458
Pikes Peak, Colorado	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2109489	73902
The Breakers, Ochre Point Avenue, Newport, RI	Congress Hall, Congress Place, Cape May, NJ 08204	545345	20212
Liberty Bell, 6th Street, Philadelphia, PA	Shelburne Farms, Harbor Road, Shelburne, VT	604312	23031
San Andreas Fault, San Benito County, CA	Bryce Canyon National Park, Hwy 63, Bryce, UT	965042	34616
Carlsbad Caverns National Park, Carlsbad, NM	Fort Sumter National Monument, Sullivan's Island, SC	2515951	82866
Toltec Mounds, Scott, AR	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3182150	104368
Mount Vernon, Fairfax County, Virginia	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1094690	36072
Columbia River Gorge National Scenic Area, Oregon	Glacier National Park, West Glacier, MT	834071	31109
Graceland, Elvis Presley Boulevard, Memphis, TN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	622114	20644
Terrace Hill, Grand Avenue, Des Moines, IA	Cape Canaveral, FL	2245944	73569
Taliesin, County Road C, Spring Green, Wisconsin	White House, Pennsylvania Avenue Northwest, Washington, DC	1423213	49254
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Columbia River Gorge National Scenic Area, Oregon	3656677	119343
Olympia Entertainment, Woodward Avenue, Detroit, MI	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	730110	24273
Hanford Site, Benton County, WA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3694509	121276
Graceland, Elvis Presley Boulevard, Memphis, TN	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	479718	16330
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Hanford Site, Benton County, WA	3008493	97717
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Grand Canyon National Park, Arizona	2032788	72614
Wright Brothers National Memorial Visitor Center, Manteo, NC	Glacier National Park, West Glacier, MT	4079881	138282
Fort Sumter National Monument, Sullivan's Island, SC	Columbia River Gorge National Scenic Area, Oregon	4505866	147450
Graceland, Elvis Presley Boulevard, Memphis, TN	Acadia National Park, Maine	2557245	86390
Yellowstone National Park, WY 82190	Bryce Canyon National Park, Hwy 63, Bryce, UT	1268372	47207
The Breakers, Ochre Point Avenue, Newport, RI	New Castle Historic District, Delaware	487852	18288
Terrace Hill, Grand Avenue, Des Moines, IA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1938413	64793
Carlsbad Caverns National Park, Carlsbad, NM	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2056420	68835
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Congress Hall, Congress Place, Cape May, NJ 08204	2899224	99755
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Fort Sumter National Monument, Sullivan's Island, SC	1007180	33739
Terrace Hill, Grand Avenue, Des Moines, IA	Congress Hall, Congress Place, Cape May, NJ 08204	1886473	63128
USS Constitution, Boston, MA	Bryce Canyon National Park, Hwy 63, Bryce, UT	4038614	134826
Hoover Dam, NV	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2492711	81643
