waypoint1	waypoint2	distance_m	duration_s
Olympia Entertainment, Woodward Avenue, Detroit, MI	Fort Snelling, Tower Avenue, Saint Paul, MN	1119701	37047
The Alamo, Alamo Plaza, San Antonio, TX	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1702247	56499
Maryland State House, 100 State Cir, Annapolis, MD 21401	Yellowstone National Park, WY 82190	3451803	117762
Hoover Dam, NV	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	4278328	140395
Liberty Bell, 6th Street, Philadelphia, PA	Fort Snelling, Tower Avenue, Saint Paul, MN	1875812	62787
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	The Alamo, Alamo Plaza, San Antonio, TX	1937855	68071
Acadia National Park, Maine	Columbia River Gorge National Scenic Area, Oregon	5250967	174193
The Breakers, Ochre Point Avenue, Newport, RI	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4964751	163944
Lost World Caverns, Lewisburg, WV	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	682772	23767
USS Alabama, Battleship Parkway, Mobile, AL	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1162700	37798
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Maryland State House, 100 State Cir, Annapolis, MD 21401	1789015	60826
Bryce Canyon National Park, Hwy 63, Bryce, UT	Grand Canyon National Park, Arizona	460397	17734
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	French Quarter, New Orleans, LA	1301626	42218
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Bryce Canyon National Park, Hwy 63, Bryce, UT	1833353	61528
Toltec Mounds, Scott, AR	Lost World Caverns, Lewisburg, WV	1319747	44196
Columbia River Gorge National Scenic Area, Oregon	Fort Snelling, Tower Avenue, Saint Paul, MN	2629957	87408
The Alamo, Alamo Plaza, San Antonio, TX	Acadia National Park, Maine	3720504	123574
Mount Vernon, Fairfax County, Virginia	Columbia River Gorge National Scenic Area, Oregon	4380407	143736
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	USS Constitution, Boston, MA	3296799	109634
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Columbia River Gorge National Scenic Area, Oregon	4448609	146544
Mount Vernon, Fairfax County, Virginia	Glacier National Park, West Glacier, MT	3674296	124022
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Wright Brothers National Memorial Visitor Center, Manteo, NC	3066600	106165
Cape Canaveral, FL	Pikes Peak, Colorado	3069158	100780
Hoover Dam, NV	Taliesin, County Road C, Spring Green, Wisconsin	2756106	89688
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Acadia National Park, Maine	2788508	93804
Yellowstone National Park, WY 82190	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2051516	72312
Hoover Dam, NV	Acadia National Park, Maine	4859520	160759
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Craters of the Moon National Monument & Preserve, Arco, ID	1255437	46993
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Acadia National Park, Maine	2164926	73502
The Breakers, Ochre Point Avenue, Newport, RI	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	371189	14125
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	The Alamo, Alamo Plaza, San Antonio, TX	3509148	115894
The Breakers, Ochre Point Avenue, Newport, RI	Ashfall Fossil Bed, Royal, NE	2535692	86636
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	USS Alabama, Battleship Parkway, Mobile, AL	1373587	50450
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	The Alamo, Alamo Plaza, San Antonio, TX	1308993	43093
Toltec Mounds, Scott, AR	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	994100	33028
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	2186185	71609
New Castle Historic District, Delaware	Yellowstone National Park, WY 82190	3532559	120582
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	San Andreas Fault, San Benito County, CA	2219853	76269
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Lost World Caverns, Lewisburg, WV	967370	33401
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2043498	69053
Toltec Mounds, Scott, AR	Congress Hall, Congress Place, Cape May, NJ 08204	1921391	65289
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	1520775	52343
White House, Pennsylvania Avenue Northwest, Washington, DC	Olympia Entertainment, Woodward Avenue, Detroit, MI	841953	28797
The Breakers, Ochre Point Avenue, Newport, RI	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1569530	56281
Toltec Mounds, Scott, AR	Carlsbad Caverns National Park, Carlsbad, NM	1302145	43739
San Andreas Fault, San Benito County, CA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	454224	18441
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2875478	98775
Taliesin, County Road C, Spring Green, Wisconsin	Olympia Entertainment, Woodward Avenue, Detroit, MI	763990	26241
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Columbia River Gorge National Scenic Area, Oregon	2707354	89406
USS Alabama, Battleship Parkway, Mobile, AL	Columbia River Gorge National Scenic Area, Oregon	4105885	136180
Olympia Entertainment, Woodward Avenue, Detroit, MI	Grand Canyon National Park, Arizona	3128772	103942
Graceland, Elvis Presley Boulevard, Memphis, TN	White House, Pennsylvania Avenue Northwest, Washington, DC	1414073	46940
Wright Brothers National Memorial Visitor Center, Manteo, NC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1272137	44424
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Grand Canyon National Park, Arizona	2713756	88190
Mount Vernon, Fairfax County, Virginia	Gateway Arch, Washington Avenue, St Louis, MO	1334725	45892
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Olympia Entertainment, Woodward Avenue, Detroit, MI	1975896	68382
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Grand Canyon National Park, Arizona	1929194	66240
Toltec Mounds, Scott, AR	Pikes Peak, Colorado	1600129	54103
Cape Canaveral, FL	Columbia River Gorge National Scenic Area, Oregon	4809733	156518
Carlsbad Caverns National Park, Carlsbad, NM	Wright Brothers National Memorial Visitor Center, Manteo, NC	3010632	98756
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Ashfall Fossil Bed, Royal, NE	573769	22280
Graceland, Elvis Presley Boulevard, Memphis, TN	Shelburne Farms, Harbor Road, Shelburne, VT	2052659	71920
Terrace Hill, Grand Avenue, Des Moines, IA	Glacier National Park, West Glacier, MT	2258352	77380
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	USS Constitution, Boston, MA	1397844	47511
White House, Pennsylvania Avenue Northwest, Washington, DC	Glacier National Park, West Glacier, MT	3641625	124199
USS Alabama, Battleship Parkway, Mobile, AL	Toltec Mounds, Scott, AR	710932	27326
USS Constitution, Boston, MA	Glacier National Park, West Glacier, MT	4101065	139422
Cape Canaveral, FL	The Alamo, Alamo Plaza, San Antonio, TX	1946364	62137
Taliesin, County Road C, Spring Green, Wisconsin	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	758338	28108
Hoover Dam, NV	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	937804	32652
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Taliesin, County Road C, Spring Green, Wisconsin	1730572	59344
Hanford Site, Benton County, WA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1214735	44688
Shelburne Farms, Harbor Road, Shelburne, VT	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2425125	82240
Hoover Dam, NV	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	1824973	60804
Taliesin, County Road C, Spring Green, Wisconsin	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1972778	69863
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Taliesin, County Road C, Spring Green, Wisconsin	1481297	48787
Hanford Site, Benton County, WA	Gateway Arch, Washington Avenue, St Louis, MO	3087305	101890
Shelburne Farms, Harbor Road, Shelburne, VT	Yellowstone National Park, WY 82190	3725524	130765
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Yellowstone National Park, WY 82190	762513	31721
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Cape Canaveral, FL	1946131	64240
Maryland State House, 100 State Cir, Annapolis, MD 21401	Wright Brothers National Memorial Visitor Center, Manteo, NC	498222	18250
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Carlsbad Caverns National Park, Carlsbad, NM	1561221	52536
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Fort Sumter National Monument, Sullivan's Island, SC	1786383	60692
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Gateway Arch, Washington Avenue, St Louis, MO	444862	16149
Congress Hall, Congress Place, Cape May, NJ 08204	Acadia National Park, Maine	1032793	36633
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1484308	51248
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Glacier National Park, West Glacier, MT	4107801	137677
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Olympia Entertainment, Woodward Avenue, Detroit, MI	1053168	36380
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Carlsbad Caverns National Park, Carlsbad, NM	2234467	74496
Mount Vernon, Fairfax County, Virginia	Terrace Hill, Grand Avenue, Des Moines, IA	1663193	55970
Maryland State House, 100 State Cir, Annapolis, MD 21401	The Breakers, Ochre Point Avenue, Newport, RI	637558	23405
Hoover Dam, NV	Liberty Bell, 6th Street, Philadelphia, PA	3971171	130210
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Olympia Entertainment, Woodward Avenue, Detroit, MI	1593962	52568
Maryland State House, 100 State Cir, Annapolis, MD 21401	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	534362	19072
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Fort Sumter National Monument, Sullivan's Island, SC	1825321	60494
USS Alabama, Battleship Parkway, Mobile, AL	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	1171563	40179
Terrace Hill, Grand Avenue, Des Moines, IA	White House, Pennsylvania Avenue Northwest, Washington, DC	1643400	55432
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2435725	84102
USS Constitution, Boston, MA	Statue of Liberty, Liberty Island, NYC, NY	348906	13025
Glacier National Park, West Glacier, MT	Fort Snelling, Tower Avenue, Saint Paul, MN	1881755	65424
White House, Pennsylvania Avenue Northwest, Washington, DC	USS Constitution, Boston, MA	710960	25617
The Breakers, Ochre Point Avenue, Newport, RI	Bryce Canyon National Park, Hwy 63, Bryce, UT	4012383	134985
Lost World Caverns, Lewisburg, WV	Grand Canyon National Park, Arizona	3328355	108325
Mount Vernon, Fairfax County, Virginia	French Quarter, New Orleans, LA	1744851	57482
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Glacier National Park, West Glacier, MT	3000012	100699
Hoover Dam, NV	The Breakers, Ochre Point Avenue, Newport, RI	4400316	144956
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Graceland, Elvis Presley Boulevard, Memphis, TN	794256	28672
Fort Snelling, Tower Avenue, Saint Paul, MN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	845023	27810
Carlsbad Caverns National Park, Carlsbad, NM	White House, Pennsylvania Avenue Northwest, Washington, DC	2904711	96577
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Terrace Hill, Grand Avenue, Des Moines, IA	1006634	32747
Hanford Site, Benton County, WA	French Quarter, New Orleans, LA	3885290	129040
Columbia River Gorge National Scenic Area, Oregon	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3116315	103052
Shelburne Farms, Harbor Road, Shelburne, VT	Wright Brothers National Memorial Visitor Center, Manteo, NC	1154666	44608
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Ashfall Fossil Bed, Royal, NE	548396	20071
Mount Vernon, Fairfax County, Virginia	Wright Brothers National Memorial Visitor Center, Manteo, NC	420094	15525
Terrace Hill, Grand Avenue, Des Moines, IA	Hanford Site, Benton County, WA	2674652	87600
Terrace Hill, Grand Avenue, Des Moines, IA	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	940866	30908
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	French Quarter, New Orleans, LA	2665343	89053
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	3190118	109761
Craters of the Moon National Monument & Preserve, Arco, ID	Cape Canaveral, FL	4131631	139609
Hanford Site, Benton County, WA	Wright Brothers National Memorial Visitor Center, Manteo, NC	4681546	155210
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Fort Snelling, Tower Avenue, Saint Paul, MN	723560	23959
Liberty Bell, 6th Street, Philadelphia, PA	San Andreas Fault, San Benito County, CA	4478750	149723
Congress Hall, Congress Place, Cape May, NJ 08204	Yellowstone National Park, WY 82190	3659009	124785
Carlsbad Caverns National Park, Carlsbad, NM	Grand Canyon National Park, Arizona	1140829	38099
USS Alabama, Battleship Parkway, Mobile, AL	Cape Canaveral, FL	877317	27567
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Carlsbad Caverns National Park, Carlsbad, NM	1441463	48372
Lost World Caverns, Lewisburg, WV	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	667214	23689
Shelburne Farms, Harbor Road, Shelburne, VT	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	386206	13489
Lost World Caverns, Lewisburg, WV	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1003351	34100
Maryland State House, 100 State Cir, Annapolis, MD 21401	Hoover Dam, NV	3901136	128579
Vicksburg National Military Park, Clay Street, Vicksburg, MS	The Alamo, Alamo Plaza, San Antonio, TX	908079	33059
Yellowstone National Park, WY 82190	Columbia River Gorge National Scenic Area, Oregon	1517397	55715
Shelburne Farms, Harbor Road, Shelburne, VT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1724784	61399
Toltec Mounds, Scott, AR	Columbia River Gorge National Scenic Area, Oregon	3404989	110195
Craters of the Moon National Monument & Preserve, Arco, ID	Glacier National Park, West Glacier, MT	849373	34568
Hanford Site, Benton County, WA	The Breakers, Ochre Point Avenue, Newport, RI	4674640	156070
Hoover Dam, NV	Carlsbad Caverns National Park, Carlsbad, NM	1352080	44581
Terrace Hill, Grand Avenue, Des Moines, IA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1950759	65522
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Columbia River Gorge National Scenic Area, Oregon	1848193	63660
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2597937	87465
San Andreas Fault, San Benito County, CA	Grand Canyon National Park, Arizona	906138	33428
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2187126	72586
Carlsbad Caverns National Park, Carlsbad, NM	San Andreas Fault, San Benito County, CA	1745390	58753
White House, Pennsylvania Avenue Northwest, Washington, DC	Pikes Peak, Colorado	2696011	91634
Liberty Bell, 6th Street, Philadelphia, PA	Acadia National Park, Maine	933400	33585
Toltec Mounds, Scott, AR	Hanford Site, Benton County, WA	3361469	108917
Maryland State House, 100 State Cir, Annapolis, MD 21401	White House, Pennsylvania Avenue Northwest, Washington, DC	55872	2679
Bryce Canyon National Park, Hwy 63, Bryce, UT	Fort Snelling, Tower Avenue, Saint Paul, MN	2329575	77331
The Alamo, Alamo Plaza, San Antonio, TX	Olympia Entertainment, Woodward Avenue, Detroit, MI	2364914	78179
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Maryland State House, 100 State Cir, Annapolis, MD 21401	2692018	92731
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Statue of Liberty, Liberty Island, NYC, NY	1348522	45703
Taliesin, County Road C, Spring Green, Wisconsin	Fort Sumter National Monument, Sullivan's Island, SC	1769638	59756
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	White House, Pennsylvania Avenue Northwest, Washington, DC	933702	33102
Terrace Hill, Grand Avenue, Des Moines, IA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	880356	31532
San Andreas Fault, San Benito County, CA	New Castle Historic District, Delaware	4488686	150557
The Breakers, Ochre Point Avenue, Newport, RI	Statue of Liberty, Liberty Island, NYC, NY	294313	11999
Liberty Bell, 6th Street, Philadelphia, PA	Ashfall Fossil Bed, Royal, NE	2197813	74164
Toltec Mounds, Scott, AR	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1230562	42423
The Breakers, Ochre Point Avenue, Newport, RI	Columbia River Gorge National Scenic Area, Oregon	4793128	158201
Mount Vernon, Fairfax County, Virginia	White House, Pennsylvania Avenue Northwest, Washington, DC	36004	2070
Pikes Peak, Colorado	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	2686826	90784
Maryland State House, 100 State Cir, Annapolis, MD 21401	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2876221	95517
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Statue of Liberty, Liberty Island, NYC, NY	1017591	35232
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	259967	10174
Liberty Bell, 6th Street, Philadelphia, PA	Grand Canyon National Park, Arizona	3756077	123565
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Acadia National Park, Maine	3196727	108506
Cape Canaveral, FL	White House, Pennsylvania Avenue Northwest, Washington, DC	1394207	44685
Shelburne Farms, Harbor Road, Shelburne, VT	Craters of the Moon National Monument & Preserve, Arco, ID	3991614	140103
Taliesin, County Road C, Spring Green, Wisconsin	Lost World Caverns, Lewisburg, WV	1279382	44562
Hanford Site, Benton County, WA	Olympia Entertainment, Woodward Avenue, Detroit, MI	3582207	117675
Wright Brothers National Memorial Visitor Center, Manteo, NC	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1269852	47590
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Olympia Entertainment, Woodward Avenue, Detroit, MI	732404	25099
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Fort Snelling, Tower Avenue, Saint Paul, MN	1126686	37472
French Quarter, New Orleans, LA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	867995	29684
Cape Canaveral, FL	USS Constitution, Boston, MA	2099673	69351
The Breakers, Ochre Point Avenue, Newport, RI	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1811426	61830
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Fort Snelling, Tower Avenue, Saint Paul, MN	2086283	70150
Taliesin, County Road C, Spring Green, Wisconsin	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1889389	62733
Pikes Peak, Colorado	Acadia National Park, Maine	3730587	125530
New Castle Historic District, Delaware	Glacier National Park, West Glacier, MT	3761244	128126
Graceland, Elvis Presley Boulevard, Memphis, TN	French Quarter, New Orleans, LA	626415	20459
Hoover Dam, NV	Glacier National Park, West Glacier, MT	1775218	59226
Statue of Liberty, Liberty Island, NYC, NY	Glacier National Park, West Glacier, MT	3802894	127980
Hoover Dam, NV	White House, Pennsylvania Avenue Northwest, Washington, DC	3902546	127164
USS Alabama, Battleship Parkway, Mobile, AL	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1200035	41978
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Liberty Bell, 6th Street, Philadelphia, PA	2292399	77443
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Pikes Peak, Colorado	1836999	63007
Hanford Site, Benton County, WA	Statue of Liberty, Liberty Island, NYC, NY	4392793	145527
Shelburne Farms, Harbor Road, Shelburne, VT	Taliesin, County Road C, Spring Green, Wisconsin	1735797	63364
Liberty Bell, 6th Street, Philadelphia, PA	Pikes Peak, Colorado	2805478	94614
Terrace Hill, Grand Avenue, Des Moines, IA	The Alamo, Alamo Plaza, San Antonio, TX	1618482	52726
USS Constitution, Boston, MA	Congress Hall, Congress Place, Cape May, NJ 08204	600200	21353
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Glacier National Park, West Glacier, MT	3948984	134288
Taliesin, County Road C, Spring Green, Wisconsin	Congress Hall, Congress Place, Cape May, NJ 08204	1669282	57384
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Grand Canyon National Park, Arizona	1269463	43396
Congress Hall, Congress Place, Cape May, NJ 08204	The Alamo, Alamo Plaza, San Antonio, TX	2880694	95753
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	French Quarter, New Orleans, LA	1032646	34243
Carlsbad Caverns National Park, Carlsbad, NM	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1970355	65967
Acadia National Park, Maine	Bryce Canyon National Park, Hwy 63, Bryce, UT	4471207	150106
Maryland State House, 100 State Cir, Annapolis, MD 21401	French Quarter, New Orleans, LA	1806183	59300
Gateway Arch, Washington Avenue, St Louis, MO	French Quarter, New Orleans, LA	1093947	35596
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Congress Hall, Congress Place, Cape May, NJ 08204	1328382	46002
Fort Sumter National Monument, Sullivan's Island, SC	Olympia Entertainment, Woodward Avenue, Detroit, MI	1359520	47272
Graceland, Elvis Presley Boulevard, Memphis, TN	San Andreas Fault, San Benito County, CA	3011608	100287
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Congress Hall, Congress Place, Cape May, NJ 08204	1067535	36806
White House, Pennsylvania Avenue Northwest, Washington, DC	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4531576	148707
Lost World Caverns, Lewisburg, WV	New Castle Historic District, Delaware	594176	20749
Pikes Peak, Colorado	USS Constitution, Boston, MA	3299436	110542
Congress Hall, Congress Place, Cape May, NJ 08204	Glacier National Park, West Glacier, MT	3897577	131180
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	390090	13786
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Bryce Canyon National Park, Hwy 63, Bryce, UT	2776978	92140
USS Alabama, Battleship Parkway, Mobile, AL	Lost World Caverns, Lewisburg, WV	1296147	42775
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Columbia River Gorge National Scenic Area, Oregon	4895897	161825
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Congress Hall, Congress Place, Cape May, NJ 08204	3083428	102541
